VendorURL,RMMSoftware
server.action1.com,Action One
action1.com,Action One
addigy.com,addigy
prod.addigy.com,addigy
grtmprod.addigy.com,addigy
agents.addigy.com,addigy
aeroadmin.com,Aeroadmin
alpemix.com,Alpemix
teknopars.com,Alpemix
ammyy.com,Ammyy
anydesk.com,AnyDesk
api.playanext.com,AnyDesk
monitoring.appsanyplace.com,AnyPlace
btgroupinc.com,AnyPlace
support.kastentornado.fi,AnyplaceControl
anyviewer.com,AnyViewer
anyviewer.cn,AnyViewer
aomeisoftware.com,AnyViewer
aomeikeji.com,AnyViewer
aomeitech.com,Aomei
atera.com,Atera
atera-agent-heartbeat,Atera
auvik.com,Auvik
aweray.com,AweSun
aweray.net,AweSun
awerayimg.com,AweSun
awesun.app,AweSun
sun.aweray.com,AweSun
barracudamsp.com,Barracuda RMM
manage.intronis.com,Barracuda RMM
mikogo4.com,beamyourscreen
mikogo.com,beamyourscreen
beam123.com,beamyourscreen
beamyourscreen.com,beamyourscreen
beyondtrust.com,beyondtrust
beyondtrustcorp.force.com,beyondtrust
beyondtrustcorp.service-now.com,beyondtrust
license.bomgar.com,beyondtrust
bomgarcloud.com,beyondtrust
beyondtrustcloud.com,beyondtrust
snow-services.pm.beyondtrustcloud.com,beyondtrust
ncrus-services.pm.beyondtrustcloud.com,beyondtrust
centrastage.com,Datto RMM
centrastage.net,Datto RMM
rmm.datto.com,Datto RMM
remotedesktop-pa.googleapis.com,Chrome Remote Desktop
remotedesktop.google.com,Chrome Remote Desktop
myconnectwise.com,ConnectWise
connectwise.com,ConnectWise
screenconnect.com,ConnectWise
itsupport247.net,ConnectWise
beanywhere.com,Dameware
licenseserver.solarwinds.com,Dameware
swi-rc.com,Dameware
swi-tc.com,Dameware
admin.swi-dre.com,Dameware
nchuser.com,DesktopNow
distantdesktop.com,Distant Desktop
signalserver.xyz,Distant Desktop
dwservice.net,DW Service
fleetdeck.io,FleetDeck
getscreen.me,Getscreen.me
getscreen.ru,getscreen
glavsoft.com,GlavSoft
goto.com,GoTo
turn.goto-rtc.com,GoTo
broadcast-cdn-live-us-east-1.goto-rtc.com,GoTo
gotohttp.com,gotohttp
get.gotomypc.com,GoToMyPC
gotomypc.com,GoToMyPC
iperius.com,Iperius Remote
iperius-r1.com,Iperius Remote
iperius-r2.com,Iperius Remote
iperius-r3.com,Iperius Remote
iperius-r4.com,Iperius Remote
iperiusremote.de,Iperius Remote
entersrl.it,Iperius Remote
islonline.net,ISL Online
islonline.com,ISL Online
xmpp.itsm-us1.comodo.com,Itarian
xmpp.cmdm.comodo.com,Itarian
rmm-api.itsm-us1.comodo.com,Itarian
rmm-api.cmdm.comodo.com,Itarian
itarian.com,Itarian
assist.jumpcloud.com,JumpCloud
api.jumpcloud.com,JumpCloud
jumpcloud.com,JumpCloud
kaseya.com,Kaseya
kaseya.net,Kaseya
level.io,Level
litemanager.ru,LiteManager
litemanager.com,LiteManager
logicnow.com,LogicNow
secure.logmeinrescue-enterprise.com,LogMeIn
logmeininc.com,LogMeIn
secure.logmeinrescue.com,LogMeIn
cubby.com,LogMeIn
logmein.com,LogMeIn
logme.in,LogMeIn
logmeinrescue.eu,LogMeIn
logmeinrescue-enterprise.com,LogMeIn
logmeinrescue-enterprise.eu,LogMeIn
remotelyanywhere.com,LogMeIn
gotoassist.com,LogMeIn
logmeininc.com,LogMeIn
logme.in,LogMeIn
getgo.com,LogMeIn
goto.com,LogMeIn
goto-rtc.com,LogMeIn
gotomypc.com,LogMeIn
logmeincdn.http.internapcdn.net,LogMeIn
logmein-gateway.com,LogMeIn
logmeinrescue.com,LogMeIn
secure.logmeinrescue.eu,LogMeIn
logmeinrescue.eu,LogMeIn
meshcentral.com,meshcentral
mremoteng.org,mRemoteNG
rm.mspbackups.com,MSP360
client.rmm.mspbackups.com,MSP360
settings.services.mspbackups.com,MSP360
connect.ra.msp360.com,MSP360
foris.cloudberrylab.com,MSP360
maxfocus.com/mail/login,N-Able
maxfocus.com/remote-management/login,N-Able
maxfocus.com,N-Able
gficloud.com,N-Able
mspanywhere.com,N-Able
beanywhere.com,N-Able
remote.management,N-Able
logicnow.com,N-Able
logicnow.us,N-Able
system-monitor.com,N-Able
systemmonitor.eu.com,N-Able
systemmonitor.co.uk,N-Able
systemmonitor.us,N-Able
n-able.com,N-Able
solarwindsmsp.com,N-Able
rmm-host.com,N-Able
netsupportsoftware.com,NetSupport
ninjarmm.com,Ninja RMM
ninjaone.com,Ninja RMM
opti-tune.com,OptiTune
optitune.us,OptiTune
manage.opti-tune.com,OptiTune
panorama9.com,Panorama9
parsec.app,Parsec
parsecgaming.com,Parsec
parsecusercontent.com,Parsec
pcvisit.de,Pcvisit
cloudflare-pcvisit.com,pcvisit
pdq.com,PDQ
pdq.tools,PDQ
pulseway.com,PulseWay
activate.famatech.com,RAdmin
radminte.com,RAdmin
radmin-club.com,RAdmin
radmin.com,RAdmin
vnc.com,Real VNC
realvnc.com,Real VNC
remoteutilities.com,Remote Utilities
remotepc.com,RemotePC
remotedesktop.com,RemotePC
rustdesk.com,RustDesk
screenconnect.connectwise.com,ScreenConnect
screenconnect.com,ScreenConnect
screenmeet.com,ScreenMeet
server-eye.de,Server-Eye
showmypc.com,ShowMyPC
simple-help.com,SimpleHelp
rmshelp.me,SimpleHelp
admin.swi-dre.com,SolarWinds
splashtop.com,SplashTop
splashtop.eu,SplashTop
nanosystems.it,Supremo
supremocontrol.com,Supremo
syncromsp.com,SynchroMSP
servably.com,SynchroMSP
syncroapi.com,SynchroMSP
atled.syspectr.com,Syspectr
notify1.syspectr.com,Syspectr
cdn.syspectr.com,Syspectr
app.syspectr.com,Syspectr
tm.syspectr.com,Syspectr
app.syspec.com,Syspectr
console.syspectr.com,Syspectr
tacticalrmm.io,TacticalRMM
blizz.com,TeamViewer
teamviewer.com,TeamViewer
teamviewer.cn,TeamViewer
monitis.com,TeamViewer
fixme.it,TechInline
techinline.net,TechInline
techinline.com,TechInline
set.me,TechInline
tightvnc.com,TightVNC
tsplus-remotesupport.com,TSplus
secure-download-file.com,TSplus
licenseapi.dl-files.com,TSplus
securityapi.dl-files.com,TSplus
monitoring.tsplus.net,TSplus
tsplus.me,TSplus
ultraviewer.com,UltraViewer
ultraviewer.net,UltraViewer
uvnc.com,UltraVNC
uvnc.eu,UltraVNC
realvnc.com,RealVNC
xmreality.com,XMReality
assist.zoho.com,ZohoAssist
assist.zoho.eu,ZohoAssist
assist.zoho.com.au,ZohoAssist
assist.zoho.in,ZohoAssist
assist.zoho.jp,ZohoAssist
assist.zoho.uk,ZohoAssist
assistlab.zoho.com,ZohoAssist
downloads.zohocdn.com,ZohoAssist
download-accl.zoho.in,ZohoAssist
zohoassist.com.cn,ZohoAssist
zohoassist.eu,ZohoAssist
zohoassist.com,ZohoAssist
zohopublic.com,ZohoAssist
zohopublic.eu,ZohoAssist
meeting.zoho.com,ZohoAssist
meeting.zoho.eu,ZohoAssist
static.zohocdn.com,ZohoAssist
zohodl.com.cn,ZohoAssist
zohowebstatic.com,ZohoAssist
zohostatic.in,ZohoAssist
